Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Glazing_Area,Heating_Load
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.98,514.5,294.0,110.25,7.0,0.0,15.55
0.9,563.5,318.5,122.5,7.0,0.0,20.84
0.9,563.5,318.5,122.5,7.0,0.0,21.46
0.9,563.5,318.5,122.5,7.0,0.0,20.71
0.9,563.5,318.5,122.5,7.0,0.0,19.68
0.86,588.0,294.0,147.0,7.0,0.0,19.5
0.86,588.0,294.0,147.0,7.0,0.0,19.95
0.86,588.0,294.0,147.0,7.0,0.0,19.34
0.86,588.0,294.0,147.0,7.0,0.0,18.31
0.82,612.5,318.5,147.0,7.0,0.0,17.05
0.82,612.5,318.5,147.0,7.0,0.0,17.41
0.82,612.5,318.5,147.0,7.0,0.0,16.95
0.82,612.5,318.5,147.0,7.0,0.0,15.98
0.79,637.0,343.0,147.0,7.0,0.0,28.52
0.79,637.0,343.0,147.0,7.0,0.0,29.9
0.79,637.0,343.0,147.0,7.0,0.0,29.63
0.79,637.0,343.0,147.0,7.0,0.0,28.75
0.76,661.5,416.5,122.5,7.0,0.0,24.77
0.76,661.5,416.5,122.5,7.0,0.0,23.93
0.76,661.5,416.5,122.5,7.0,0.0,24.77
0.76,661.5,416.5,122.5,7.0,0.0,23.93
0.74,686.0,245.0,220.5,3.5,0.0,6.07
0.74,686.0,245.0,220.5,3.5,0.0,6.05
0.74,686.0,245.0,220.5,3.5,0.0,6.01
0.74,686.0,245.0,220.5,3.5,0.0,6.04
0.71,710.5,269.5,220.5,3.5,0.0,6.37
0.71,710.5,269.5,220.5,3.5,0.0,6.4
0.71,710.5,269.5,220.5,3.5,0.0,6.37
0.71,710.5,269.5,220.5,3.5,0.0,6.4
0.69,735.0,294.0,220.5,3.5,0.0,6.85
0.69,735.0,294.0,220.5,3.5,0.0,6.79
0.69,735.0,294.0,220.5,3.5,0.0,6.77
0.69,735.0,294.0,220.5,3.5,0.0,6.81
0.66,759.5,318.5,220.5,3.5,0.0,7.18
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.66,759.5,318.5,220.5,3.5,0.0,7.1
0.64,784.0,343.0,220.5,3.5,0.0,10.85
0.64,784.0,343.0,220.5,3.5,0.0,10.54
0.64,784.0,343.0,220.5,3.5,0.0,10.77
0.64,784.0,343.0,220.5,3.5,0.0,10.56
0.62,808.5,367.5,220.5,3.5,0.0,8.6
0.62,808.5,367.5,220.5,3.5,0.0,8.49
0.62,808.5,367.5,220.5,3.5,0.0,8.45
0.62,808.5,367.5,220.5,3.5,0.0,8.5
0.98,514.5,294.0,110.25,7.0,0.1,24.58
0.98,514.5,294.0,110.25,7.0,0.1,24.63
0.98,514.5,294.0,110.25,7.0,0.1,24.63
0.98,514.5,294.0,110.25,7.0,0.1,24.59
0.9,563.5,318.5,122.5,7.0,0.1,29.03
0.9,563.5,318.5,122.5,7.0,0.1,29.87
0.9,563.5,318.5,122.5,7.0,0.1,29.14
0.9,563.5,318.5,122.5,7.0,0.1,28.09
0.86,588.0,294.0,147.0,7.0,0.1,26.28
0.86,588.0,294.0,147.0,7.0,0.1,26.91
0.86,588.0,294.0,147.0,7.0,0.1,26.37
0.86,588.0,294.0,147.0,7.0,0.1,25.27
0.82,612.5,318.5,147.0,7.0,0.1,23.53
0.82,612.5,318.5,147.0,7.0,0.1,24.03
0.82,612.5,318.5,147.0,7.0,0.1,23.54
0.82,612.5,318.5,147.0,7.0,0.1,22.58
0.79,637.0,343.0,147.0,7.0,0.1,35.56
0.79,637.0,343.0,147.0,7.0,0.1,37.12
0.79,637.0,343.0,147.0,7.0,0.1,36.9
0.79,637.0,343.0,147.0,7.0,0.1,35.94
0.76,661.5,416.5,122.5,7.0,0.1,32.96
0.76,661.5,416.5,122.5,7.0,0.1,32.12
0.76,661.5,416.5,122.5,7.0,0.1,32.94
0.76,661.5,416.5,122.5,7.0,0.1,32.21
0.74,686.0,245.0,220.5,3.5,0.1,10.36
0.74,686.0,245.0,220.5,3.5,0.1,10.43
0.74,686.0,245.0,220.5,3.5,0.1,10.36
0.74,686.0,245.0,220.5,3.5,0.1,10.39
0.71,710.5,269.5,220.5,3.5,0.1,10.71
0.71,710.5,269.5,220.5,3.5,0.1,10.8
0.71,710.5,269.5,220.5,3.5,0.1,10.7
0.71,710.5,269.5,220.5,3.5,0.1,10.75
0.69,735.0,294.0,220.5,3.5,0.1,11.11
0.69,735.0,294.0,220.5,3.5,0.1,11.13
0.69,735.0,294.0,220.5,3.5,0.1,11.09
0.69,735.0,294.0,220.5,3.5,0.1,11.16
0.66,759.5,318.5,220.5,3.5,0.1,11.68
0.66,759.5,318.5,220.5,3.5,0.1,11.69
0.66,759.5,318.5,220.5,3.5,0.1,11.7
0.66,759.5,318.5,220.5,3.5,0.1,11.69
0.64,784.0,343.0,220.5,3.5,0.1,15.41
0.64,784.0,343.0,220.5,3.5,0.1,15.2
0.64,784.0,343.0,220.5,3.5,0.1,15.42
0.64,784.0,343.0,220.5,3.5,0.1,15.21
0.62,808.5,367.5,220.5,3.5,0.1,12.96
0.62,808.5,367.5,220.5,3.5,0.1,12.97
0.62,808.5,367.5,220.5,3.5,0.1,12.93
0.62,808.5,367.5,220.5,3.5,0.1,13.02
0.98,514.5,294.0,110.25,7.0,0.1,24.29
0.98,514.5,294.0,110.25,7.0,0.1,24.31
0.98,514.5,294.0,110.25,7.0,0.1,24.13
0.98,514.5,294.0,110.25,7.0,0.1,24.25
0.9,563.5,318.5,122.5,7.0,0.1,28.88
0.9,563.5,318.5,122.5,7.0,0.1,29.68
0.9,563.5,318.5,122.5,7.0,0.1,28.83
0.9,563.5,318.5,122.5,7.0,0.1,27.9
0.86,588.0,294.0,147.0,7.0,0.1,26.48
0.86,588.0,294.0,147.0,7.0,0.1,27.02
0.86,588.0,294.0,147.0,7.0,0.1,26.33
0.86,588.0,294.0,147.0,7.0,0.1,25.36
0.82,612.5,318.5,147.0,7.0,0.1,23.75
0.82,612.5,318.5,147.0,7.0,0.1,24.23
0.82,612.5,318.5,147.0,7.0,0.1,23.67
0.82,612.5,318.5,147.0,7.0,0.1,22.79
0.79,637.0,343.0,147.0,7.0,0.1,35.65
0.79,637.0,343.0,147.0,7.0,0.1,37.26
0.79,637.0,343.0,147.0,7.0,0.1,36.97
0.79,637.0,343.0,147.0,7.0,0.1,36.03
0.76,661.5,416.5,122.5,7.0,0.1,33.16
0.76,661.5,416.5,122.5,7.0,0.1,32.4
0.76,661.5,416.5,122.5,7.0,0.1,33.12
0.76,661.5,416.5,122.5,7.0,0.1,32.41
0.74,686.0,245.0,220.5,3.5,0.1,10.42
0.74,686.0,245.0,220.5,3.5,0.1,10.46
0.74,686.0,245.0,220.5,3.5,0.1,10.32
0.74,686.0,245.0,220.5,3.5,0.1,10.45
0.71,710.5,269.5,220.5,3.5,0.1,10.64
0.71,710.5,269.5,220.5,3.5,0.1,10.72
0.71,710.5,269.5,220.5,3.5,0.1,10.55
0.71,710.5,269.5,220.5,3.5,0.1,10.68
0.69,735.0,294.0,220.5,3.5,0.1,11.45
0.69,735.0,294.0,220.5,3.5,0.1,11.46
0.69,735.0,294.0,220.5,3.5,0.1,11.32
0.69,735.0,294.0,220.5,3.5,0.1,11.49
0.66,759.5,318.5,220.5,3.5,0.1,11.45
0.66,759.5,318.5,220.5,3.5,0.1,11.42
0.66,759.5,318.5,220.5,3.5,0.1,11.33
0.66,759.5,318.5,220.5,3.5,0.1,11.43
0.64,784.0,343.0,220.5,3.5,0.1,15.41
0.64,784.0,343.0,220.5,3.5,0.1,15.18
0.64,784.0,343.0,220.5,3.5,0.1,15.34
0.64,784.0,343.0,220.5,3.5,0.1,15.19
0.62,808.5,367.5,220.5,3.5,0.1,12.88
0.62,808.5,367.5,220.5,3.5,0.1,13.0
0.62,808.5,367.5,220.5,3.5,0.1,12.97
0.62,808.5,367.5,220.5,3.5,0.1,13.04
0.98,514.5,294.0,110.25,7.0,0.1,24.28
0.98,514.5,294.0,110.25,7.0,0.1,24.4
0.98,514.5,294.0,110.25,7.0,0.1,24.11
0.98,514.5,294.0,110.25,7.0,0.1,24.35
0.9,563.5,318.5,122.5,7.0,0.1,28.07
0.9,563.5,318.5,122.5,7.0,0.1,29.01
0.9,563.5,318.5,122.5,7.0,0.1,29.62
0.9,563.5,318.5,122.5,7.0,0.1,29.05
0.86,588.0,294.0,147.0,7.0,0.1,25.41
0.86,588.0,294.0,147.0,7.0,0.1,26.47
0.86,588.0,294.0,147.0,7.0,0.1,26.89
0.86,588.0,294.0,147.0,7.0,0.1,26.46
0.82,612.5,318.5,147.0,7.0,0.1,22.93
0.82,612.5,318.5,147.0,7.0,0.1,23.84
0.82,612.5,318.5,147.0,7.0,0.1,24.17
0.82,612.5,318.5,147.0,7.0,0.1,23.87
0.79,637.0,343.0,147.0,7.0,0.1,35.78
0.79,637.0,343.0,147.0,7.0,0.1,35.48
0.79,637.0,343.0,147.0,7.0,0.1,36.97
0.79,637.0,343.0,147.0,7.0,0.1,36.7
0.76,661.5,416.5,122.5,7.0,0.1,32.52
0.76,661.5,416.5,122.5,7.0,0.1,33.28
0.76,661.5,416.5,122.5,7.0,0.1,32.33
0.76,661.5,416.5,122.5,7.0,0.1,33.24
0.74,686.0,245.0,220.5,3.5,0.1,10.39
0.74,686.0,245.0,220.5,3.5,0.1,10.34
0.74,686.0,245.0,220.5,3.5,0.1,10.35
0.74,686.0,245.0,220.5,3.5,0.1,10.38
0.71,710.5,269.5,220.5,3.5,0.1,10.77
0.71,710.5,269.5,220.5,3.5,0.1,10.68
0.71,710.5,269.5,220.5,3.5,0.1,10.68
0.71,710.5,269.5,220.5,3.5,0.1,10.7
0.69,735.0,294.0,220.5,3.5,0.1,11.22
0.69,735.0,294.0,220.5,3.5,0.1,11.16
0.69,735.0,294.0,220.5,3.5,0.1,11.1
0.69,735.0,294.0,220.5,3.5,0.1,11.14
0.66,759.5,318.5,220.5,3.5,0.1,11.59
0.66,759.5,318.5,220.5,3.5,0.1,11.6
0.66,759.5,318.5,220.5,3.5,0.1,11.53
0.66,759.5,318.5,220.5,3.5,0.1,11.61
0.64,784.0,343.0,220.5,3.5,0.1,15.16
0.64,784.0,343.0,220.5,3.5,0.1,15.36
0.64,784.0,343.0,220.5,3.5,0.1,15.12
0.64,784.0,343.0,220.5,3.5,0.1,15.36
0.62,808.5,367.5,220.5,3.5,0.1,12.68
0.62,808.5,367.5,220.5,3.5,0.1,12.63
0.62,808.5,367.5,220.5,3.5,0.1,12.71
0.62,808.5,367.5,220.5,3.5,0.1,12.73
0.98,514.5,294.0,110.25,7.0,0.1,24.38
0.98,514.5,294.0,110.25,7.0,0.1,24.23
0.98,514.5,294.0,110.25,7.0,0.1,24.04
0.98,514.5,294.0,110.25,7.0,0.1,24.32
0.9,563.5,318.5,122.5,7.0,0.1,29.06
0.9,563.5,318.5,122.5,7.0,0.1,28.05
0.9,563.5,318.5,122.5,7.0,0.1,28.86
0.9,563.5,318.5,122.5,7.0,0.1,29.79
0.86,588.0,294.0,147.0,7.0,0.1,26.44
0.86,588.0,294.0,147.0,7.0,0.1,25.37
0.86,588.0,294.0,147.0,7.0,0.1,26.33
0.86,588.0,294.0,147.0,7.0,0.1,27.03
0.82,612.5,318.5,147.0,7.0,0.1,23.8
0.82,612.5,318.5,147.0,7.0,0.1,22.8
0.82,612.5,318.5,147.0,7.0,0.1,23.59
0.82,612.5,318.5,147.0,7.0,0.1,24.24
0.79,637.0,343.0,147.0,7.0,0.1,36.86
0.79,637.0,343.0,147.0,7.0,0.1,35.89
0.79,637.0,343.0,147.0,7.0,0.1,35.45
0.79,637.0,343.0,147.0,7.0,0.1,37.1
0.76,661.5,416.5,122.5,7.0,0.1,33.08
0.76,661.5,416.5,122.5,7.0,0.1,32.38
0.76,661.5,416.5,122.5,7.0,0.1,33.09
0.76,661.5,416.5,122.5,7.0,0.1,32.31
0.74,686.0,245.0,220.5,3.5,0.1,10.08
0.74,686.0,245.0,220.5,3.5,0.1,10.15
0.74,686.0,245.0,220.5,3.5,0.1,10.07
0.74,686.0,245.0,220.5,3.5,0.1,10.14
0.71,710.5,269.5,220.5,3.5,0.1,10.66
0.71,710.5,269.5,220.5,3.5,0.1,10.68
0.71,710.5,269.5,220.5,3.5,0.1,10.53
0.71,710.5,269.5,220.5,3.5,0.1,10.72
0.69,735.0,294.0,220.5,3.5,0.1,11.18
0.69,735.0,294.0,220.5,3.5,0.1,11.22
0.69,735.0,294.0,220.5,3.5,0.1,11.07
0.69,735.0,294.0,220.5,3.5,0.1,11.2
0.66,759.5,318.5,220.5,3.5,0.1,11.44
0.66,759.5,318.5,220.5,3.5,0.1,11.42
0.66,759.5,318.5,220.5,3.5,0.1,11.33
0.66,759.5,318.5,220.5,3.5,0.1,11.43
0.64,784.0,343.0,220.5,3.5,0.1,15.4
0.64,784.0,343.0,220.5,3.5,0.1,15.19
0.64,784.0,343.0,220.5,3.5,0.1,15.32
0.64,784.0,343.0,220.5,3.5,0.1,15.16
0.62,808.5,367.5,220.5,3.5,0.1,12.85
0.62,808.5,367.5,220.5,3.5,0.1,13.04
0.62,808.5,367.5,220.5,3.5,0.1,13.0
0.62,808.5,367.5,220.5,3.5,0.1,13.0
0.98,514.5,294.0,110.25,7.0,0.1,24.35
0.98,514.5,294.0,110.25,7.0,0.1,24.33
0.98,514.5,294.0,110.25,7.0,0.1,24.03
0.98,514.5,294.0,110.25,7.0,0.1,24.26
0.9,563.5,318.5,122.5,7.0,0.1,29.83
0.9,563.5,318.5,122.5,7.0,0.1,29.08
0.9,563.5,318.5,122.5,7.0,0.1,28.03
0.9,563.5,318.5,122.5,7.0,0.1,29.02
0.86,588.0,294.0,147.0,7.0,0.1,27.03
0.86,588.0,294.0,147.0,7.0,0.1,26.45
0.86,588.0,294.0,147.0,7.0,0.1,25.36
0.86,588.0,294.0,147.0,7.0,0.1,26.45
0.82,612.5,318.5,147.0,7.0,0.1,24.37
0.82,612.5,318.5,147.0,7.0,0.1,23.89
0.82,612.5,318.5,147.0,7.0,0.1,22.89
0.82,612.5,318.5,147.0,7.0,0.1,23.86
0.79,637.0,343.0,147.0,7.0,0.1,37.03
0.79,637.0,343.0,147.0,7.0,0.1,36.71
0.79,637.0,343.0,147.0,7.0,0.1,36.77
0.79,637.0,343.0,147.0,7.0,0.1,35.48
0.76,661.5,416.5,122.5,7.0,0.1,32.31
0.76,661.5,416.5,122.5,7.0,0.1,33.21
0.76,661.5,416.5,122.5,7.0,0.1,32.46
0.76,661.5,416.5,122.5,7.0,0.1,33.27
0.74,686.0,245.0,220.5,3.5,0.1,10.47
0.74,686.0,245.0,220.5,3.5,0.1,10.37
0.74,686.0,245.0,220.5,3.5,0.1,10.34
0.74,686.0,245.0,220.5,3.5,0.1,10.39
0.71,710.5,269.5,220.5,3.5,0.1,10.78
0.71,710.5,269.5,220.5,3.5,0.1,10.7
0.71,710.5,269.5,220.5,3.5,0.1,10.67
0.71,710.5,269.5,220.5,3.5,0.1,13.69
0.69,735.0,294.0,220.5,3.5,0.1,11.21
0.69,735.0,294.0,220.5,3.5,0.1,11.14
0.69,735.0,294.0,220.5,3.5,0.1,11.11
0.69,735.0,294.0,220.5,3.5,0.1,11.16
0.66,759.5,318.5,220.5,3.5,0.1,11.38
0.66,759.5,318.5,220.5,3.5,0.1,11.34
0.66,759.5,318.5,220.5,3.5,0.1,11.22
0.66,759.5,318.5,220.5,3.5,0.1,11.34
0.64,784.0,343.0,220.5,3.5,0.1,15.16
0.64,784.0,343.0,220.5,3.5,0.1,15.37
0.64,784.0,343.0,220.5,3.5,0.1,15.12
0.64,784.0,343.0,220.5,3.5,0.1,15.36
0.62,808.5,367.5,220.5,3.5,0.1,12.59
0.62,808.5,367.5,220.5,3.5,0.1,12.74
0.62,808.5,367.5,220.5,3.5,0.1,12.8
0.62,808.5,367.5,220.5,3.5,0.1,12.62
0.98,514.5,294.0,110.25,7.0,0.25,28.15
0.98,514.5,294.0,110.25,7.0,0.25,28.15
0.98,514.5,294.0,110.25,7.0,0.25,28.37
0.98,514.5,294.0,110.25,7.0,0.25,28.41
0.9,563.5,318.5,122.5,7.0,0.25,32.68
0.9,563.5,318.5,122.5,7.0,0.25,33.48
0.9,563.5,318.5,122.5,7.0,0.25,32.84
0.9,563.5,318.5,122.5,7.0,0.25,32.0
0.86,588.0,294.0,147.0,7.0,0.25,29.54
0.86,588.0,294.0,147.0,7.0,0.25,30.05
0.86,588.0,294.0,147.0,7.0,0.25,29.6
0.86,588.0,294.0,147.0,7.0,0.25,28.66
0.82,612.5,318.5,147.0,7.0,0.25,26.84
0.82,612.5,318.5,147.0,7.0,0.25,27.27
0.82,612.5,318.5,147.0,7.0,0.25,26.97
0.82,612.5,318.5,147.0,7.0,0.25,26.19
0.79,637.0,343.0,147.0,7.0,0.25,38.67
0.79,637.0,343.0,147.0,7.0,0.25,40.03
0.79,637.0,343.0,147.0,7.0,0.25,39.86
0.79,637.0,343.0,147.0,7.0,0.25,39.04
0.76,661.5,416.5,122.5,7.0,0.25,36.96
0.76,661.5,416.5,122.5,7.0,0.25,36.13
0.76,661.5,416.5,122.5,7.0,0.25,36.91
0.76,661.5,416.5,122.5,7.0,0.25,36.43
0.74,686.0,245.0,220.5,3.5,0.25,12.43
0.74,686.0,245.0,220.5,3.5,0.25,12.5
0.74,686.0,245.0,220.5,3.5,0.25,12.41
0.74,686.0,245.0,220.5,3.5,0.25,12.45
0.71,710.5,269.5,220.5,3.5,0.25,12.57
0.71,710.5,269.5,220.5,3.5,0.25,12.65
0.71,710.5,269.5,220.5,3.5,0.25,12.57
0.71,710.5,269.5,220.5,3.5,0.25,12.63
0.69,735.0,294.0,220.5,3.5,0.25,12.78
0.69,735.0,294.0,220.5,3.5,0.25,12.93
0.69,735.0,294.0,220.5,3.5,0.25,12.73
0.69,735.0,294.0,220.5,3.5,0.25,12.72
0.66,759.5,318.5,220.5,3.5,0.25,13.17
0.66,759.5,318.5,220.5,3.5,0.25,13.18
0.66,759.5,318.5,220.5,3.5,0.25,13.17
0.66,759.5,318.5,220.5,3.5,0.25,13.18
0.64,784.0,343.0,220.5,3.5,0.25,17.5
0.64,784.0,343.0,220.5,3.5,0.25,17.35
0.64,784.0,343.0,220.5,3.5,0.25,17.52
0.64,784.0,343.0,220.5,3.5,0.25,17.37
0.62,808.5,367.5,220.5,3.5,0.25,15.09
0.62,808.5,367.5,220.5,3.5,0.25,15.12
0.62,808.5,367.5,220.5,3.5,0.25,15.08
0.62,808.5,367.5,220.5,3.5,0.25,15.16
0.98,514.5,294.0,110.25,7.0,0.25,28.67
0.98,514.5,294.0,110.25,7.0,0.25,28.57
0.98,514.5,294.0,110.25,7.0,0.25,28.18
0.98,514.5,294.0,110.25,7.0,0.25,28.6
0.9,563.5,318.5,122.5,7.0,0.25,32.46
0.9,563.5,318.5,122.5,7.0,0.25,33.27
0.9,563.5,318.5,122.5,7.0,0.25,32.33
0.9,563.5,318.5,122.5,7.0,0.25,31.66
0.86,588.0,294.0,147.0,7.0,0.25,29.34
0.86,588.0,294.0,147.0,7.0,0.25,29.87
0.86,588.0,294.0,147.0,7.0,0.25,29.27
0.86,588.0,294.0,147.0,7.0,0.25,28.4
0.82,612.5,318.5,147.0,7.0,0.25,25.74
0.82,612.5,318.5,147.0,7.0,0.25,25.98
0.82,612.5,318.5,147.0,7.0,0.25,25.38
0.82,612.5,318.5,147.0,7.0,0.25,24.94
0.79,637.0,343.0,147.0,7.0,0.25,38.57
0.79,637.0,343.0,147.0,7.0,0.25,40.19
0.79,637.0,343.0,147.0,7.0,0.25,39.97
0.79,637.0,343.0,147.0,7.0,0.25,38.98
0.76,661.5,416.5,122.5,7.0,0.25,36.95
0.76,661.5,416.5,122.5,7.0,0.25,36.28
0.76,661.5,416.5,122.5,7.0,0.25,36.86
0.76,661.5,416.5,122.5,7.0,0.25,36.45
0.74,686.0,245.0,220.5,3.5,0.25,12.35
0.74,686.0,245.0,220.5,3.5,0.25,12.45
0.74,686.0,245.0,220.5,3.5,0.25,12.16
0.74,686.0,245.0,220.5,3.5,0.25,12.3
0.71,710.5,269.5,220.5,3.5,0.25,12.33
0.71,710.5,269.5,220.5,3.5,0.25,12.29
0.71,710.5,269.5,220.5,3.5,0.25,12.2
0.71,710.5,269.5,220.5,3.5,0.25,12.49
0.69,735.0,294.0,220.5,3.5,0.25,12.85
0.69,735.0,294.0,220.5,3.5,0.25,12.87
0.69,735.0,294.0,220.5,3.5,0.25,12.73
0.69,735.0,294.0,220.5,3.5,0.25,12.95
0.66,759.5,318.5,220.5,3.5,0.25,13.05
0.66,759.5,318.5,220.5,3.5,0.25,12.93
0.66,759.5,318.5,220.5,3.5,0.25,12.77
0.66,759.5,318.5,220.5,3.5,0.25,13.0
0.64,784.0,343.0,220.5,3.5,0.25,17.14
0.64,784.0,343.0,220.5,3.5,0.25,16.84
0.64,784.0,343.0,220.5,3.5,0.25,17.02
0.64,784.0,343.0,220.5,3.5,0.25,17.11
0.62,808.5,367.5,220.5,3.5,0.25,14.34
0.62,808.5,367.5,220.5,3.5,0.25,14.66
0.62,808.5,367.5,220.5,3.5,0.25,14.6
